Document Index (generated),Number of Records per episodes.json,Number of Records,Action,Alive,Alt Location,Born,characters Index (generated),Consummated,Episode Air Date,Episode Description,Episode Link,Episode Num,Episode Title,episodes Index (generated),Flashback,Greensight,killedBy Index (generated),Killed By,Location,Manner Of Death,Name (Episodes.Scenes.Characters),Name (Episodes.Scenes.Characters.Weapon),openingSequenceLocations Index (generated),Opening Sequence Locations,Scene End,Scene Start,scenes Index (generated),Season Num,Sub Location,Title,To,Type (Episodes.Scenes.Characters.Married),Type (Episodes.Scenes.Characters.Sex),Warg,weapon Index (generated),When (Episodes.Scenes.Characters.Married),When (Episodes.Scenes.Characters.Sex),with Index (generated),With
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Back stab,Waymar Royce,,1,King's Landing,0:06:21,0:05:58,10,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Decapitation,Gared,,1,King's Landing,0:07:45,0:06:49,13,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,1,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,Eddard Stark,The North,Decapitation,Will,,1,King's Landing,0:15:41,0:12:38,15,1,Outside Winterfell,,,,,,,,,,
1,1,1,,False,,,1,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,Lysa Arryn,The Crownlands,Poison,Jon Arryn,,1,King's Landing,0:20:45,0:18:44,17,1,King's Landing,Hand,,,,,,,,,
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Back stab,Waymar Royce,,2,Winterfell,0:06:21,0:05:58,10,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Decapitation,Gared,,2,Winterfell,0:07:45,0:06:49,13,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,1,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,Eddard Stark,The North,Decapitation,Will,,2,Winterfell,0:15:41,0:12:38,15,1,Outside Winterfell,,,,,,,,,,
1,1,1,,False,,,1,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,Lysa Arryn,The Crownlands,Poison,Jon Arryn,,2,Winterfell,0:20:45,0:18:44,17,1,King's Landing,Hand,,,,,,,,,
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Back stab,Waymar Royce,,3,The Wall,0:06:21,0:05:58,10,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,2,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,White Walker,North of the Wall,Decapitation,Gared,,3,The Wall,0:07:45,0:06:49,13,1,The Haunted Forest,,,,,,,,,,
1,1,1,,False,,,1,,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",/title/tt1480055/,1,Winter Is Coming,1,,,1,Eddard Stark,The North,Decapitation,Will,,3,The Wall,0:15:41,0:12:38,15,1,Outside Winterfell,,,,,,,,,,
